College_Name,State,Public_(1)/_Private_(2),#_appli._rec'd,#_appl._accepted,acceptance_rate,#_new_stud._enrolled,%_new_stud._from_top_10%,%_new_stud._from_top_25%,#_FT_undergrad,#_PT_undergrad,in-state_tuition,out-of-state_tuition,room,board,add._fees,estim._book_costs,estim._personal_$,%_fac._w/PHD,stud./fac._ratio,Graduation_rate,total_cost
Alaska Pacific University,AK,2,193.0,146.0,75.65,55.0,16.0,44.0,249.0,869.0,7560.0,7560.0,1620.0,2500.0,130.0,800.0,1500.0,76.0,11.9,15.0,21670.0
University of Alaska at Fairbanks,AK,1,1852.0,1427.0,77.05,928.0,,,3885.0,4519.0,1742.0,5226.0,1800.0,1790.0,155.0,650.0,2304.0,67.0,10.0,,13667.0
University of Alaska Southeast,AK,1,146.0,117.0,80.14,89.0,4.0,24.0,492.0,1849.0,1742.0,5226.0,2514.0,2250.0,34.0,500.0,1162.0,39.0,9.5,39.0,13428.0
University of Alaska at Anchorage,AK,1,2065.0,1598.0,77.38,1162.0,,,6209.0,10537.0,1742.0,5226.0,2600.0,2520.0,114.0,580.0,1260.0,48.0,13.7,,14042.0
Alabama Agri. & Mech. Univ.,AL,1,2817.0,1920.0,68.16,984.0,,,3958.0,305.0,1700.0,3400.0,1108.0,1442.0,155.0,500.0,850.0,53.0,14.3,40.0,9155.0
Faulkner University,AL,2,345.0,320.0,92.75,179.0,,27.0,1367.0,578.0,5600.0,5600.0,1550.0,1700.0,300.0,350.0,,52.0,32.8,55.0,15100.0
University of Montevallo,AL,1,1351.0,892.0,66.03,570.0,18.0,78.0,2385.0,331.0,2220.0,4440.0,,,124.0,300.0,600.0,72.0,18.9,51.0,7684.0
Alabama State University,AL,1,4639.0,3272.0,70.53,1278.0,,,4051.0,405.0,1500.0,3000.0,1960.0,,84.0,500.0,,48.0,18.7,15.0,7044.0
Auburn University-Main Campus,AL,1,7548.0,6791.0,89.97,3070.0,25.0,57.0,16262.0,1716.0,2100.0,6300.0,,,,600.0,1908.0,85.0,16.7,69.0,10908.0
Birmingham-Southern College,AL,2,805.0,588.0,73.04,287.0,67.0,88.0,1376.0,207.0,11660.0,11660.0,2050.0,2430.0,120.0,400.0,900.0,74.0,14.0,72.0,29220.0
University of North Alabama,AL,1,1087.0,702.0,64.58,625.0,,40.0,3772.0,1034.0,1704.0,2970.0,1336.0,1200.0,20.0,500.0,,62.0,19.4,76.0,7730.0
Huntingdon College,AL,2,608.0,520.0,85.53,127.0,26.0,47.0,538.0,126.0,8080.0,8080.0,1380.0,2540.0,100.0,500.0,1100.0,63.0,11.4,44.0,21780.0
Jacksonville State University,AL,1,1627.0,1413.0,86.85,887.0,,,5160.0,1475.0,1740.0,2610.0,1030.0,1570.0,85.0,570.0,1500.0,66.0,20.1,33.0,9105.0
Judson College,AL,2,313.0,228.0,72.84,137.0,10.0,30.0,552.0,67.0,5780.0,5780.0,,,,,,70.0,17.9,43.0,11560.0
Livingston University,AL,1,1206.0,957.0,79.35,444.0,,,1627.0,132.0,1740.0,1740.0,1162.0,1287.0,243.0,570.0,2100.0,58.0,18.8,36.0,8842.0
