College_Name,State,in-state_tuition,out-of-state_tuition,room,board,add._fees,estim._book_costs,estim._personal_$
Middlebury College,VT,25750.0,25750.0,,,170.0,540.0,1000.0
Bates College,ME,25180.0,25180.0,,,,650.0,1120.0
Franklin and Marshall College,PA,24940.0,24940.0,,,,590.0,730.0
Bennington College,VT,21700.0,21700.0,2100.0,2000.0,,600.0,500.0
Hampshire College,MA,20655.0,20655.0,2000.0,3475.0,690.0,375.0,450.0
Massachusetts Institute of Technology,MA,20100.0,20100.0,3200.0,2775.0,600.0,725.0,1600.0
Gettysburg College,PA,19964.0,19964.0,2180.0,2148.0,90.0,500.0,500.0
Reed College,OR,19960.0,19960.0,2690.0,2800.0,150.0,500.0,450.0
Princeton University,NJ,19900.0,19900.0,2696.0,3214.0,400.0,675.0,1575.0
Yale University,CT,19840.0,19840.0,3040.0,3470.0,,630.0,2115.0
